lookupVariable,lookupValue,newVariable,newValue,source
gutenberg_id,46,author,Charles Dickens,
gutenberg_id,98,author,Charles Dickens,
gutenberg_id,730,author,Charles Dickens,
gutenberg_id,1400,author,Charles Dickens,
gutenberg_id,1023,author,Charles Dickens,
gutenberg_id,121,author,Jane Austen,
gutenberg_id,141,author,Jane Austen,
gutenberg_id,158,author,Jane Austen,
gutenberg_id,161,author,Jane Austen,
gutenberg_id,1342,author,Jane Austen,
gutenberg_id,1513,author,William Shakespeare,
gutenberg_id,1519,author,William Shakespeare,
gutenberg_id,2264,author,William Shakespeare,
gutenberg_id,2265,author,William Shakespeare,
gutenberg_id,2266,author,William Shakespeare,
gutenberg_id,600,author,Fyodor Dostoyevsky,
gutenberg_id,2197,author,Fyodor Dostoyevsky,
gutenberg_id,2554,author,Fyodor Dostoyevsky,
gutenberg_id,2638,author,Fyodor Dostoyevsky,
gutenberg_id,28054,author,Fyodor Dostoyevsky,
